# scope: final; corpus: Draugas 1909-2007; generated: 2026-07-19; lane: draugas-parish-registry-1909-2007; gazetteer config-as-truth; +county,+geo_disambiguator (additive); NOT a unified-build ingest input
parish_key,country,city,state,titular_lt,titular_en_key,city_stems,titular_stems,c83_row,cand_idx,status,founded,closed,source,notes,county,geo_disambiguator
st-george-detroit-mi,US,Detroit,MI,Šv. Jurgio,st. george,detroit,jurgi,,118,demolished,1908,,candidate-137,,,
st-george-saginaw-mi,US,Saginaw,MI,Šv. Jurgio,st. george,saginaw,jurgi,,123,closed,1918,2015,candidate-137,,Saginaw,
st-gabriel-milwaukee-wi,US,Milwaukee,WI,Šv. Gabrieliaus,st. gabriel,milwaukee,gabriel,,124,repurposed,1913,,candidate-137,,,
st-casimir-racine-wi,US,Racine,WI,Šv. Kazimiero,st. casimir,racine|rasin,kazimier,,125,repurposed,1910,1998,candidate-137,,Racine,
st-peter-kenosha-wi,US,Kenosha,WI,Šv. Petro,st. peter,kenosha|kenosh,petro,,126,standing,1907,,candidate-137,,Kenosha,
immaculate-conception-sheboygan-wi,US,Sheboygan,WI,Nekaltojo Prasidėjimo,immaculate conception,sheboygan|seboigan,prasidejim|nekalt,,127,standing,,,candidate-137,,Sheboygan,
st-ambrose-port-washington-wi,US,Port Washington,WI,Šv. Ambraziejaus,st. ambrose,port washington,ambraziej,,128,demolished,,1964,candidate-137,,Ozaukee,
st-casimir-kansas-city-ks,US,Kansas City,KS,Šv. Kazimiero,st. casimir,kansas city,kazimier,,130,demolished,1912,1947,candidate-137,,Wyandotte,
st-joseph-st-louis-mo,US,St. Louis,MO,Šv. Juozapo,st. joseph,st. louis,juozap,,131,closed,1916,1970,candidate-137,,,
st-alphonsus-baltimore-md,US,Baltimore,MD,Šv. Alfonso,st. alphonsus,baltimore|baltimor,alfons,,134,standing,1917,,candidate-137,,,
st-john-the-baptist-baltimore-md,US,Baltimore,MD,Šv. Jono,st. john the baptist,baltimore|baltimor,jono,,135,repurposed,1905,1916,candidate-137,,,
